,ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,age,work_year,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,month_on_book,target
23623,5095982,0,1,0,0,225,Commercial associate,Secondary / secondary special,Civil marriage,With parents,44.69589041,2.849315068,1,0,0,High skill tech staff,2,13,0
31724,5135346,1,0,1,0,112.5,Commercial associate,Higher education,Married,House / apartment,55.07671233,1.520547945,0,0,0,Security staff,2,49,1
20435,5089321,0,1,0,0,135,Commercial associate,Higher education,Married,House / apartment,31.82465753,2.260273973,1,1,1,High skill tech staff,2,31,0
36373,5116763,0,0,1,0,90,Pensioner,Incomplete higher,Separated,House / apartment,66.10684932,7.247955325,0,0,0,Unknown,1,43,1
36298,5092342,0,0,1,0,225,Working,Secondary / secondary special,Widow,House / apartment,52.74520548,5.635616438,0,0,0,Sales staff,1,28,1
36447,5149145,1,1,1,0,247.5,Working,Secondary / secondary special,Married,House / apartment,30.00547945,9.8,1,0,0,Laborers,2,25,1
18847,5078789,1,0,1,0,157.5,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,39.14520548,2.405479452,0,0,0,Laborers,1,35,0
36358,5114347,1,1,0,0,180,Commercial associate,Secondary / secondary special,Married,Municipal apartment,26.87671233,8.2,1,0,0,Unknown,2,36,1
3299,5022934,1,1,1,more,315,Working,Higher education,Married,House / apartment,34.56164384,3.167123288,0,0,0,Laborers,more,7,0
12116,5050768,0,0,0,more,337.5,Working,Secondary / secondary special,Married,House / apartment,30.10958904,5.956164384,0,0,0,Core staff,more,9,0
10424,5045487,1,1,1,0,202.5,Pensioner,Secondary / secondary special,Married,House / apartment,61.50136986,7.247955325,0,0,0,Unknown,2,52,0
36364,5115611,0,0,1,0,202.5,Working,Secondary / secondary special,Single / not married,House / apartment,39.7890411,9.369863014,0,0,0,Core staff,2,4,1
6782,5033435,1,1,0,more,315,Commercial associate,Secondary / secondary special,Married,House / apartment,42.4,7.887671233,0,1,0,Laborers,more,59,1
29489,5117794,0,1,0,more,162,Commercial associate,Incomplete higher,Married,House / apartment,26.47123288,2.180821918,1,1,0,Core staff,more,40,1
27559,5114294,0,0,0,0,112.5,State servant,Secondary / secondary special,Widow,House / apartment,52.8630137,14.37260274,1,0,0,Unknown,1,23,0
36346,5111144,1,0,0,0,135,Working,Secondary / secondary special,Civil marriage,With parents,41.38082192,4.654794521,0,0,0,Laborers,2,43,1
36226,5052884,1,1,1,0,225,Working,Secondary / secondary special,Married,House / apartment,49.08219178,9.221917808,0,0,0,Drivers,2,41,1
32958,5139916,0,0,0,more,112.5,Commercial associate,Secondary / secondary special,Married,House / apartment,33.39452055,0.846575342,0,0,0,Sales staff,more,50,0
16942,5067247,0,1,1,0,391.5,Working,Secondary / secondary special,Married,House / apartment,46.56164384,19.90136986,0,0,0,Core staff,2,44,0
2511,5021969,0,0,0,1,103.5,Working,Secondary / secondary special,Married,House / apartment,32.10958904,3.263013699,0,0,0,Sales staff,more,4,0
13366,5053812,1,0,1,1,90,Commercial associate,Secondary / secondary special,Married,With parents,22.78356164,0.408219178,0,0,0,Laborers,more,28,0
4811,5024856,0,1,1,0,211.5,Working,Secondary / secondary special,Married,House / apartment,42.62739726,14.09589041,0,0,0,High skill tech staff,2,8,0
6369,5029321,0,0,1,0,40.5,Pensioner,Secondary / secondary special,Married,House / apartment,49.88219178,7.247955325,0,1,0,Unknown,2,6,0
25683,5105405,0,0,1,more,135,Working,Secondary / secondary special,Married,House / apartment,34.95890411,4.15890411,0,0,0,Unknown,more,17,0
8778,5038637,0,0,1,0,135,Pensioner,Secondary / secondary special,Married,House / apartment,57.50410959,7.247955325,0,1,0,Unknown,2,57,0
12566,5052764,0,0,1,0,315,Working,Secondary / secondary special,Married,House / apartment,59.83835616,4.471232877,0,0,0,Sales staff,2,33,0
26660,5112965,0,0,1,0,90,Pensioner,Secondary / secondary special,Married,House / apartment,59.33424658,7.247955325,0,0,0,Unknown,2,56,0
10721,5045894,0,0,1,0,225,Pensioner,Secondary / secondary special,Single / not married,House / apartment,63.79726027,7.247955325,0,0,0,Unknown,1,52,1
14773,5061324,1,1,1,0,315,Commercial associate,Secondary / secondary special,Married,House / apartment,57.75342466,11.96986301,1,1,0,High skill tech staff,2,58,0
33082,5142130,0,1,1,0,360,Pensioner,Secondary / secondary special,Married,Municipal apartment,64.10410959,7.247955325,0,0,0,Unknown,2,28,0
23342,5095497,0,0,1,0,337.5,State servant,Higher education,Married,House / apartment,35.06027397,6.350684932,0,0,0,Core staff,2,33,0
36407,5126277,0,0,0,0,162,Pensioner,Secondary / secondary special,Married,House / apartment,58.20273973,7.247955325,0,0,0,Unknown,2,15,1
11859,5048618,1,1,1,0,315,Commercial associate,Higher education,Married,Office apartment,37.34246575,12.01917808,0,0,0,Core staff,2,55,0
2077,5021448,0,0,1,0,196.65,Commercial associate,Secondary / secondary special,Married,House / apartment,58.67123288,7.517808219,0,0,0,Cleaning staff,2,16,0
36117,5010628,0,0,1,0,180,Working,Secondary / secondary special,Single / not married,House / apartment,53.20821918,5.526027397,0,0,0,Unknown,1,5,1
10753,5045934,1,0,0,0,247.5,State servant,Secondary / secondary special,Single / not married,House / apartment,41.19726027,6.049315068,0,0,0,Laborers,1,8,0
14610,5061130,0,0,1,1,324,State servant,Higher education,Married,House / apartment,36.9369863,13.1369863,0,0,0,Managers,more,37,1
14658,5061192,0,0,1,1,180,State servant,Higher education,Married,House / apartment,30.05205479,9.547945205,0,0,1,High skill tech staff,more,45,0
36332,5105646,1,1,1,0,202.5,Working,Higher education,Married,House / apartment,48.17808219,8.265753425,0,0,0,Drivers,2,37,1
495,5009420,0,0,0,0,90,Working,Secondary / secondary special,Single / not married,House / apartment,52.88767123,1.271232877,1,1,0,Core staff,1,16,0
32061,5135784,0,0,1,0,126,Working,Secondary / secondary special,Married,House / apartment,65.3260274,5.882191781,0,1,0,Accountants,2,56,0
36355,5113945,0,1,0,0,135,Pensioner,Secondary / secondary special,Married,House / apartment,63.90136986,7.247955325,0,1,0,Unknown,2,9,1
3612,5023323,1,1,1,more,135,Working,Secondary / secondary special,Married,House / apartment,33.68767123,11.81917808,0,0,0,Unknown,more,56,1
36258,5068456,0,1,0,0,135,Commercial associate,Secondary / secondary special,Married,House / apartment,37.20821918,7.057534247,0,0,0,Unknown,2,13,1
30384,5125566,1,1,0,0,148.5,State servant,Secondary / secondary special,Married,House / apartment,28.28767123,8.290410959,1,0,0,Unknown,2,14,0
18981,5079069,1,1,1,0,225,Working,Secondary / secondary special,Civil marriage,House / apartment,33.72876712,6.742465753,1,1,0,Laborers,2,25,0
36391,5118443,0,1,0,1,108,Commercial associate,Higher education,Married,House / apartment,44.21369863,1.180821918,1,0,0,Sales staff,more,40,1
35370,5149316,0,1,1,1,180,Working,Higher education,Separated,House / apartment,51.6109589,16.38630137,0,0,0,Managers,2,19,0
7988,5150358,0,0,1,0,175.5,Commercial associate,Higher education,Married,House / apartment,41.77534247,6.101369863,1,1,0,Managers,2,40,0
23571,5095915,0,0,0,0,76.5,Pensioner,Secondary / secondary special,Married,House / apartment,56.41643836,7.247955325,0,1,0,Unknown,2,23,0
20385,5089265,0,0,0,0,72,Working,Secondary / secondary special,Single / not married,House / apartment,51.50410959,4.016438356,1,0,0,Cleaning staff,1,14,0
31944,5135636,1,1,1,0,195.75,Working,Secondary / secondary special,Married,House / apartment,51.60547945,2.550684932,1,1,0,Laborers,2,59,1
36387,5118279,0,0,0,0,112.5,Pensioner,Secondary / secondary special,Married,Municipal apartment,58.52876712,7.247955325,0,0,0,Unknown,2,39,1
5035,5025192,0,0,0,1,112.5,Working,Secondary / secondary special,Civil marriage,With parents,35.12876712,7.597260274,0,0,0,Laborers,more,5,0
25517,5105194,1,0,1,0,315,Commercial associate,Higher education,Single / not married,House / apartment,28.76438356,1.493150685,0,0,1,Laborers,1,32,1
28510,5116301,0,0,1,0,180,Pensioner,Secondary / secondary special,Married,House / apartment,62.06849315,7.247955325,0,0,0,Unknown,2,30,1
15574,5062337,1,0,1,1,202.5,Commercial associate,Secondary / secondary special,Married,House / apartment,41.32876712,11.04931507,0,0,1,Unknown,more,49,0
25615,5105327,0,0,1,0,76.5,Pensioner,Secondary / secondary special,Married,House / apartment,60.09041096,7.247955325,0,1,0,Unknown,2,55,1
2929,5113071,0,0,1,0,135,Working,Incomplete higher,Married,House / apartment,35.72054795,4.430136986,0,0,1,Unknown,2,25,0
8720,5038562,0,0,1,1,112.5,Working,Secondary / secondary special,Single / not married,House / apartment,40.84383562,2.378082192,0,0,0,Cooking staff,2,24,0
36419,5142185,1,1,1,more,450,Commercial associate,Higher education,Married,House / apartment,48.87945205,11.79452055,1,1,0,Managers,more,25,1
8190,5036923,0,0,1,0,225,State servant,Secondary / secondary special,Civil marriage,House / apartment,63.69315068,23.8630137,1,1,0,Laborers,2,52,0
23778,5096191,1,0,0,0,360,Commercial associate,Higher education,Married,House / apartment,42.43835616,9.438356164,0,0,0,Unknown,2,36,0
36134,5022427,0,0,1,0,90,Working,Secondary / secondary special,Civil marriage,House / apartment,45.39452055,1.416438356,0,0,0,Laborers,2,35,1
32154,5135906,0,0,1,1,171,State servant,Higher education,Separated,House / apartment,56.38630137,4.797260274,0,0,0,IT staff,2,16,0
23024,5095028,0,0,1,0,103.5,Pensioner,Secondary / secondary special,Widow,House / apartment,62.69041096,7.247955325,0,0,0,Unknown,1,37,0
36140,5023738,0,0,1,0,90,Working,Secondary / secondary special,Single / not married,House / apartment,51.98630137,2.057534247,1,1,0,Core staff,2,38,1
31668,5132938,0,0,1,1,157.5,State servant,Secondary / secondary special,Single / not married,House / apartment,34.72876712,3.698630137,0,0,0,Waiters/barmen staff,2,27,0
15950,5065402,0,0,1,more,135,Working,Secondary / secondary special,Married,House / apartment,34.49041096,11.22191781,0,1,0,Laborers,more,4,0
36347,5111145,1,0,0,0,135,Working,Secondary / secondary special,Civil marriage,With parents,41.38082192,4.654794521,0,0,0,Laborers,2,8,1
36415,5136014,1,0,0,1,112.5,Working,Secondary / secondary special,Civil marriage,House / apartment,35.83561644,3.635616438,0,0,0,High skill tech staff,more,27,1
10202,5045109,0,0,1,0,202.5,Pensioner,Secondary / secondary special,Widow,House / apartment,57.87945205,7.247955325,0,0,0,Unknown,1,55,0
12710,5052952,0,0,1,0,157.5,Pensioner,Secondary / secondary special,Widow,House / apartment,66.68493151,7.247955325,0,1,0,Unknown,1,56,1
36305,5096069,0,1,0,0,180,Working,Higher education,Married,House / apartment,40.93972603,4.520547945,1,0,0,Core staff,2,46,1
36315,5096528,0,0,0,0,135,Working,Secondary / secondary special,Widow,Co-op apartment,54.82739726,1.6,0,0,0,Core staff,1,36,1
34901,5148699,1,0,1,1,202.5,Working,Higher education,Married,House / apartment,32.42739726,7.547945205,0,0,0,Unknown,more,5,0
36221,5052661,0,0,1,0,103.5,Working,Secondary / secondary special,Married,House / apartment,28.48219178,1.545205479,0,0,1,IT staff,2,14,1
36421,5142463,0,0,1,0,157.5,Working,Secondary / secondary special,Civil marriage,Office apartment,36.72328767,10.70684932,0,1,0,Unknown,2,16,1
25516,5105193,1,0,1,0,315,Commercial associate,Higher education,Single / not married,House / apartment,28.76438356,1.493150685,0,0,1,Laborers,1,53,1
25206,5100413,0,0,1,1,157.5,Working,Secondary / secondary special,Married,House / apartment,43.59178082,8.769863014,0,0,0,High skill tech staff,more,41,0
36341,5105788,1,1,0,0,459,Commercial associate,Secondary / secondary special,Married,House / apartment,43.78082192,0.326027397,1,1,0,Drivers,2,14,1
1382,5010535,0,1,0,more,135,Working,Secondary / secondary special,Married,House / apartment,38.15890411,8.361643836,0,0,0,Laborers,more,52,1
12928,5053227,1,0,1,0,135,Working,Secondary / secondary special,Married,House / apartment,54.20547945,4.304109589,0,0,0,Laborers,2,29,0
12812,5053084,0,0,0,0,175.5,Working,Secondary / secondary special,Single / not married,House / apartment,51.07671233,1.802739726,0,0,0,High skill tech staff,1,40,0
29484,5117787,0,1,0,more,162,Commercial associate,Incomplete higher,Married,House / apartment,26.47123288,2.180821918,1,1,0,Core staff,more,44,1
25166,5118220,1,1,0,0,270,Working,Secondary / secondary special,Civil marriage,House / apartment,41.89589041,1.767123288,1,1,0,Drivers,2,22,0
29583,5117961,0,1,0,0,135,Working,Incomplete higher,Civil marriage,House / apartment,27.58356164,0.6,1,0,0,Sales staff,2,53,1
5220,5026088,0,0,1,0,67.5,Working,Secondary / secondary special,Widow,House / apartment,56.11506849,13.78082192,1,1,0,Unknown,1,25,0
36251,5061691,0,0,1,1,67.5,Commercial associate,Higher education,Married,House / apartment,24.99178082,4.293150685,0,0,1,Waiters/barmen staff,more,12,1
36303,5095906,0,0,0,0,90,Working,Higher education,Civil marriage,House / apartment,28.93424658,6.183561644,1,0,0,Core staff,2,41,1
9681,5042014,0,0,0,0,157.5,Working,Incomplete higher,Married,House / apartment,33.97808219,2.512328767,1,0,0,Managers,2,23,0
25555,5105246,0,0,0,0,207,Working,Higher education,Married,House / apartment,40.38356164,18.41917808,0,1,0,Core staff,2,52,1
11702,5048363,0,0,0,0,108,Pensioner,Secondary / secondary special,Widow,House / apartment,60.77260274,7.247955325,0,0,0,Unknown,1,56,1
27270,5113895,1,1,0,0,162,Working,Secondary / secondary special,Married,House / apartment,52.98630137,11.20273973,1,0,1,Security staff,2,24,0
36142,5023831,0,0,1,more,112.5,Commercial associate,Secondary / secondary special,Married,House / apartment,33.24657534,2.534246575,0,0,0,Sales staff,more,9,1
8591,5150182,0,0,1,0,112.5,Pensioner,Secondary / secondary special,Married,House / apartment,55.62739726,7.247955325,0,0,0,Unknown,2,13,0
36228,5053247,1,1,1,0,126,Working,Secondary / secondary special,Married,House / apartment,52.83835616,9.55890411,1,0,0,Security staff,2,13,1
36427,5143573,1,1,0,0,157.5,Working,Incomplete higher,Married,With parents,24.99726027,2.630136986,1,0,0,Drivers,2,32,1
8280,5150477,1,1,1,0,202.5,Working,Secondary / secondary special,Civil marriage,House / apartment,29.82465753,3.602739726,1,0,0,Laborers,2,20,0
2738,5022229,0,0,1,1,54,Working,Secondary / secondary special,Married,House / apartment,42.68767123,0.512328767,0,0,0,Unknown,more,5,0
16348,5066435,1,1,1,0,157.5,Working,Secondary / secondary special,Married,House / apartment,47.51780822,1.515068493,0,0,1,Drivers,2,32,1
27188,5113758,0,0,1,1,112.5,Commercial associate,Secondary / secondary special,Married,House / apartment,29.57808219,5.364383562,1,1,0,Sales staff,more,30,1
9129,5041220,1,0,1,0,270,Working,Secondary / secondary special,Single / not married,House / apartment,29.82465753,0.843835616,0,0,0,Laborers,1,21,0
4709,5024745,1,0,1,0,225,Commercial associate,Higher education,Single / not married,House / apartment,38.89041096,18.85205479,0,0,0,Laborers,1,13,0
19114,5079297,0,0,1,0,117,Working,Secondary / secondary special,Married,House / apartment,25.77808219,2.819178082,0,0,0,Laborers,2,11,0
33530,5142687,1,1,0,more,135,State servant,Secondary / secondary special,Married,House / apartment,38.46027397,17.96712329,1,1,0,Core staff,more,34,0
12334,5051124,1,0,0,0,202.5,State servant,Higher education,Married,House / apartment,34.8630137,13.71506849,0,0,0,Core staff,2,3,0
36291,5090606,0,1,1,1,135,Working,Secondary / secondary special,Single / not married,House / apartment,29.85753425,1.098630137,0,0,0,Unknown,2,10,1
36214,5050731,0,0,0,0,135,Commercial associate,Higher education,Separated,House / apartment,32.08767123,13.2109589,0,1,1,HR staff,1,44,1
8859,5038737,0,0,0,0,121.5,Pensioner,Secondary / secondary special,Separated,House / apartment,64.35890411,7.247955325,0,0,0,Unknown,1,49,0
36390,5118442,0,1,0,1,108,Commercial associate,Higher education,Single / not married,House / apartment,44.21369863,1.180821918,1,0,0,Sales staff,more,8,1
21667,5090981,0,0,0,0,180,Working,Secondary / secondary special,Separated,House / apartment,37.7369863,7.353424658,0,0,0,Cooking staff,1,24,0
34548,5146150,0,1,1,0,675,Commercial associate,Secondary / secondary special,Married,House / apartment,39.67123288,10.18630137,0,1,0,Unknown,2,8,0
13988,5054596,0,0,1,0,157.5,Pensioner,Secondary / secondary special,Married,House / apartment,59.88767123,7.247955325,0,0,0,Unknown,2,17,0
24967,5100202,1,1,0,1,292.5,State servant,Secondary / secondary special,Civil marriage,House / apartment,28.77260274,10.35342466,0,1,0,Managers,more,50,0
28511,5116302,0,0,1,0,180,Pensioner,Secondary / secondary special,Married,House / apartment,62.06849315,7.247955325,0,0,0,Unknown,2,18,1
14152,5056016,0,0,1,0,157.5,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,59.59178082,7.247955325,0,0,0,Unknown,2,14,1
9882,5042279,0,0,0,1,90,Working,Secondary / secondary special,Civil marriage,House / apartment,31.8630137,5.178082192,0,0,0,Sales staff,more,23,0
36139,5023642,1,1,0,more,225,Working,Secondary / secondary special,Married,House / apartment,40.48219178,6.060273973,0,0,0,Drivers,more,9,1
36229,5053361,0,0,1,0,171,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,55.07671233,7.389041096,0,0,0,Cleaning staff,2,16,1
3686,5023426,1,0,1,more,157.5,Working,Higher education,Married,House / apartment,39.00821918,10.73424658,0,0,0,Laborers,more,54,0
30031,5118649,0,0,1,more,270,State servant,Higher education,Single / not married,House / apartment,28.56164384,7.520547945,0,0,0,Core staff,more,31,0
36160,5028776,0,0,1,0,247.5,Pensioner,Secondary / secondary special,Married,House / apartment,63.74520548,7.247955325,0,0,0,Unknown,2,32,1
30701,5125998,0,0,1,0,180,Working,Secondary / secondary special,Married,House / apartment,60.03013699,2.038356164,1,1,0,Unknown,2,50,0
12244,5050981,0,1,0,1,247.5,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,41.34246575,17.79452055,0,0,0,Sales staff,2,21,0
1860,5018501,0,1,1,0,90,Working,Secondary / secondary special,Married,House / apartment,51.91780822,2.745205479,1,1,0,Cooking staff,2,34,1
6168,5029069,0,0,1,0,112.5,Pensioner,Secondary / secondary special,Married,House / apartment,58.53972603,7.247955325,0,0,0,Unknown,2,19,0
30991,5126370,0,0,0,0,135,Working,Secondary / secondary special,Married,House / apartment,37.16712329,5.205479452,1,0,0,High skill tech staff,2,24,0
3116,5022713,1,0,1,0,157.5,Working,Secondary / secondary special,Married,House / apartment,64.1260274,7.169863014,0,0,0,Security staff,2,5,0
13269,5053673,0,1,1,0,225,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,33.08219178,3.917808219,0,1,0,High skill tech staff,1,40,1
36236,5054446,1,0,1,0,180,Pensioner,Higher education,Married,House / apartment,53.75068493,7.247955325,0,0,0,Unknown,2,9,1
9613,5041922,1,0,0,0,135,Pensioner,Secondary / secondary special,Married,House / apartment,62.36986301,7.247955325,0,1,0,Unknown,2,30,0
25638,5105354,0,0,1,1,99,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,28.56164384,2.073972603,0,0,0,Laborers,more,49,0
25075,5118044,0,0,0,0,81,Pensioner,Secondary / secondary special,Widow,House / apartment,65.48493151,7.247955325,0,1,0,Unknown,1,49,1
36135,5022428,0,0,1,0,90,Working,Secondary / secondary special,Civil marriage,House / apartment,45.39452055,1.416438356,0,0,0,Laborers,2,48,1
36360,5114647,1,0,0,0,247.5,Commercial associate,Secondary / secondary special,Married,Rented apartment,52.03561644,4.78630137,0,0,1,Security staff,2,48,1
27993,5115631,1,0,0,0,202.5,Working,Secondary / secondary special,Civil marriage,House / apartment,62.46575342,0.279452055,0,0,0,Drivers,2,35,1
2062,5021431,0,0,1,0,126,Commercial associate,Higher education,Single / not married,House / apartment,51.8,6.767123288,0,0,0,Sales staff,1,22,1
10939,5046169,1,0,1,0,180,Working,Secondary / secondary special,Married,House / apartment,54.76986301,4.635616438,1,1,0,Security staff,2,23,0
32774,5137535,1,0,0,0,135,Working,Secondary / secondary special,Married,House / apartment,40.69589041,9.638356164,1,0,0,Drivers,2,34,0
36154,5024907,0,1,0,0,81,Pensioner,Secondary / secondary special,Married,House / apartment,59.3260274,7.247955325,0,0,0,Unknown,2,45,1
36204,5048365,0,0,0,0,108,Pensioner,Secondary / secondary special,Widow,House / apartment,60.77260274,7.247955325,0,0,0,Unknown,1,45,1
21373,5090400,0,0,0,0,36,Working,Secondary / secondary special,Married,With parents,39.7260274,1.257534247,1,0,0,Core staff,2,52,1
15883,5065314,0,0,1,1,157.5,State servant,Higher education,Married,House / apartment,42.8630137,11.7260274,0,0,0,Core staff,more,60,1
36264,5069218,0,1,1,0,256.5,Commercial associate,Higher education,Single / not married,House / apartment,30.71232877,4.723287671,1,0,0,Accountants,2,46,1
35708,5149728,0,1,1,0,90,Working,Secondary / secondary special,Married,House / apartment,52.33150685,4.715068493,0,0,0,Unknown,2,41,1
10162,5045046,0,0,0,0,202.5,Working,Higher education,Single / not married,House / apartment,32.85205479,1.934246575,0,0,1,Laborers,1,9,0
36352,5113690,0,0,1,0,292.5,Working,Secondary / secondary special,Married,House / apartment,33.91506849,12.2,0,0,1,Sales staff,2,21,1
36408,5126278,0,0,0,0,162,Pensioner,Secondary / secondary special,Married,House / apartment,58.20273973,7.247955325,0,0,0,Unknown,2,28,1
30828,5126151,0,0,0,0,67.5,Pensioner,Lower secondary,Married,House / apartment,62.50136986,7.247955325,0,1,0,Unknown,2,15,0
32191,5135952,0,0,0,1,135,Working,Secondary / secondary special,Single / not married,House / apartment,41.43561644,1.964383562,0,1,0,Low-skill Laborers,2,33,0
